sent_id,text,subj,rel,obj,rule,Unnamed: 6,Unnamed: 7
67,土木工程是建造各类工程设施的科学技术的统称。,土木工程,IS_A,统称,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
582,工程招标与投标是一种方法，它既延续了人类商品交易原始的思想与方法，又运用了市场经济的竞争机制。,招标,IS_A,方法,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
687,在中国文化中，红色一向都是喜庆吉祥的象征。,红色,IS_A,象征,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
1010,港珠澳大桥 港珠澳大桥是中国境内一座连接香港、珠海(广东)和澳门的桥隧工程。,大桥,IS_A,工程,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
1362,回音壁和三音石  北京的天坛是中国有名的古代建筑群。,天坛,IS_A,建筑群,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
1365,回音壁是一道封闭的圆形围墙。,回音壁,IS_A,围墙,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
1958,分子是构成物质的一种微粒。,分子,IS_A,微粒,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
1966,原子也是构成物质的一种微粒。,原子,IS_A,微粒,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
2103,桂林是著名的旅游城市，漓江两岸的风景最秀丽。,桂林,IS_A,城市,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
2119,指南针  指南针是指示方向的工具。,指南针,IS_A,工具,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
2193,万有引力是太阳和地球等天体之所以如此存在的原因；没有万有引力，天体将无法相互吸引形成天体系统，而我们所知的生命形式也将不会出现。,万有引力,IS_A,原因,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
2439,温度计是测量温度的一种仪器。,温度计,IS_A,仪器,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
2537,神奇的电脑 电脑，是电子计算机的另外一个名字。,电脑,IS_A,名字,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
2608,光纤通信 光纤就是光导纤维，它是一根比头发丝还细的玻璃丝。,光纤,IS_A,光导纤维,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
2610,光纤通信是一门新兴的通讯技术。,光纤通信,IS_A,技术,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
2720,记忆合金 记忆合金，顾名思义，就是带有"记忆"功能的合金。,记忆合金,IS_A,合金,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
2773,数码相机的"胶卷"就是其成像器件，而且它与相机一体，是数码相机的心脏。,胶卷,IS_A,器件,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
2779,数码相机的出现，是照相史上的一大进步。,出现,IS_A,进步,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
2875,彩虹是气象中的一种光学现象。,彩虹,IS_A,现象,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3064,氢气是氢的单质形态，是所有气体中最轻的，也是宇宙中含量最高的物质。,氢气,IS_A,物质,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3093,控制器是整个机器的指挥系统。,控制器,IS_A,指挥系统,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3114,激光 激光也是一种光，但它的发射方式以及许多奇特性质跟普通光不一样。,激光,IS_A,光,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3116,前者是不可控制的光源，后者则是可控制的新型光源。,前者,IS_A,光源,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3151,望远镜·电子显微镜 望远镜 望远镜是一种用于观察远距离物体的光学仪器，它能把远处的物品在成像空间内按一定倍率放大，使本来无法用肉眼看清的物体变得清晰可见。,望远镜,IS_A,光学仪器,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3179,液晶电视 液晶电视是指用液晶屏做显示器的电视机。,液晶电视,IS_A,电视机,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3180,液晶是一种介于固体和液体之间，具有规则性分子排列的有机化合物。,液晶,IS_A,化合物,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3214,这里所说的颜色都是百分之百颜色的叠加。,颜色,IS_A,叠加,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3228,宇宙飞船 宇宙飞船又称载人飞船，是一种运送航天员到达太空并安全返回的一次性使用的航天器。,宇宙飞船,IS_A,航天器,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3309,海王星的发现是应用万有引力定律取得重大成就的一个例子。,发现,IS_A,例子,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3320,流星雨形成的根本原因是彗星的破碎。,根本原因,IS_A,破碎,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3417,二氧化锰是这个反应的催化剂，它在这个反应里起催化作用。,二氧化锰,IS_A,催化剂,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3543,在这里，"这个物理量"是"比重"的复指成分，它们指向一事物，属于同一语法成分。,物理量,IS_A,成分,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3668,转动是自然界和生产技术中常见的一种运动。,转动,IS_A,运动,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3730,在匀速直线运动中，速度是路程跟通过这段路程所用时间的比值。,速度,IS_A,比值,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3730,在匀速直线运动中，速度是路程跟通过这段路程所用时间的比值。,路程,IS_A,比值,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3779,X射线的发现 X射线是一种波长范围在0.001至10纳米之间的短波电子辐射。,X射线,IS_A,辐射,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3806,电子计算机是二十世纪科学技术上一个重大的成就。,电子计算机,IS_A,成就,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3828,机器人是一种由电子计算机控制，能代替人做某些工作的自动机械。,机器人,IS_A,机械,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3831,激光计算机是一种利用激光束而不是电波进行数据计算和资料处理的电子计算机。,计算机,IS_A,电子计算机,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
3933,不论x取任何实数值，指数函数y等于a的x次方的图像总是 x轴的上方。,图像,IS_A,上方,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
4011,把一个图形放大或缩小，所得到的图形就是原图形的相似形。,图形,IS_A,相似形,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
4051,电磁波 电磁波是电磁场的一种运动形态。,电磁波,IS_A,形态,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
4108,宇航服是宇航员征服太空必不可少的装备，一套宇航服造价为数百万美元。,宇航服,IS_A,装备,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
4114,除宇宙射线给人体造成伤害之外，空间漂浮的宇宙垃圾也是对宇航员的一大威胁。,垃圾,IS_A,威胁,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
4160,证明、说明、表明、指出、发现、总结出  事实证明：与其他能源相比，核能是一种安全可靠的能源。,核能,IS_A,能源,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
4219,总之，铁是一种比较活泼的金属。,总之,IS_A,金属,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
4230,压强P是垂直作用于物体上的压力F跟受力面积S的比值。,压强,IS_A,比值,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
4278,飞机机翼的上表面是个向上的弧形，机翼下表面是平的。,表面,IS_A,弧形,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
4294,它外表并非黑色，而是醒目的橙色。,外表,IS_A,橙色,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
4371,氧气、氮气以及惰性气体是空气的固定成分；二氧化碳和水蒸气是可变成分，因天气和地区而不同。,氧气,IS_A,成分,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
4377,氮气是无色、无味的气体。,氮气,IS_A,气体,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
4381,因此氮气是一种重要的化学工业原料。,氮气,IS_A,原料,DEF_IS_A_ROOT_NOUN_SAFE_V2,,
