sent_id,sentence,subj,rel,obj,rule
1959,大多数的物质都是由分子构成的。,物质,COMPOSED_OF,分子,COMPOSED_OF_YOU_ZUCHENG_V1
1960,氧气由氧分子构成，水由水分子构成，盐酸由盐酸分子构成等。,氧气,COMPOSED_OF,氧分子,COMPOSED_OF_YOU_ZUCHENG_V1
1965,一个氧分子由两个氧原子构成；塑料是高分子化合物，塑料的分子是由很多原子构成的。,塑料的分子,COMPOSED_OF,原子,COMPOSED_OF_YOU_ZUCHENG_V1
1994,世界是由物质组成的。,世界,COMPOSED_OF,物质,COMPOSED_OF_YOU_ZUCHENG_V1
1996,铁是由铁原子直接构成的物质。,铁,COMPOSED_OF,铁原子直接,COMPOSED_OF_YOU_ZUCHENG_V1
3321,彗星主要由水和尘埃组成。,彗星,COMPOSED_OF,水和尘埃,COMPOSED_OF_YOU_ZUCHENG_V1
3619,因此，自然界中的万物都在运动，绝对不动的物体是不存在的，整个地球都是由运动着的物质组成的。,地球,COMPOSED_OF,运动着的物质,COMPOSED_OF_YOU_ZUCHENG_V1
3813,化合物是由不同的元素组成的。,化合物,COMPOSED_OF,不同的元素,COMPOSED_OF_YOU_ZUCHENG_V1
4246,原子是由原子核和电子构成的。,原子,COMPOSED_OF,原子核和电子,COMPOSED_OF_YOU_ZUCHENG_V1
4248,平行四边形是由两对平行边构成的。,平行四边形,COMPOSED_OF,两对平行边,COMPOSED_OF_YOU_ZUCHENG_V1
4503,计算机是由电子元器件构成的，而在电子元器件中最易实现的是二进制。,计算机,COMPOSED_OF,电子元器件,COMPOSED_OF_YOU_ZUCHENG_V1
4511,每个存储记忆元件，比如由晶体管组成的触发器，可以代表一位数字，"记忆"是它们本身的属性，一旦"记住"，就不会忘记。,触发器,COMPOSED_OF,晶体管,COMPOSED_OF_YOU_ZUCHENG_V1
4661,光学显微镜是由几个透镜组合构成的一种光学仪器，它可以把微小的物体放大成为人们的肉眼所能看到的影像。,光学显微镜,COMPOSED_OF,几个透镜组合,COMPOSED_OF_YOU_ZUCHENG_V1
4957,其次，它是由许多单元组成模块工作，先用两片电极夹住一片电解质板，组成一个单元，再由上百个这样的独立单元堆叠在一起，形成一个燃料电池组，再把许多燃料电池组集合在一起，便形成了一个发电站。,它是,COMPOSED_OF,单元,COMPOSED_OF_YOU_ZUCHENG_V1
5635,那么，原子核是由什么东西组成的呢？,原子核,COMPOSED_OF,什么东西,COMPOSED_OF_YOU_ZUCHENG_V1
6420,我们知道，电脑是由硬件和软件构成的。,电脑,COMPOSED_OF,硬件和软件,COMPOSED_OF_YOU_ZUCHENG_V1
9301,基质由砂和石构成，是湿地中最基础的物质。,基质,COMPOSED_OF,砂和石,COMPOSED_OF_YOU_ZUCHENG_V1
10192,中国是由个民族组成的统一的多民族国家。,中国,COMPOSED_OF,个民族,COMPOSED_OF_YOU_ZUCHENG_V1
