sent_id,sentence,subj,rel,obj,rule
35,"介词""于""用于动词或形容词后，是较书面的正式表达，其后可引出时间、地点、对象等内容，也可用于比较句中。",也可,USED_FOR,比较句中,USED_FOR_YONGYU
315,是啊，这种布局方式适用于小规模的生产活动。,布局方式适,USED_FOR,小规模的生产活动,USED_FOR_YONGYU
2396,既然万有引力定律是自然界最普遍、最基本的定律之一，则它一定适用于两个星球之间的相互作用。,则它一定适,USED_FOR,两个星球之间的相互作用,USED_FOR_YONGYU
2447,体温表是用来测量身体温度的。,体温表,USED_FOR,测量身体温度,USED_FOR_SHI_YONGLAI_DE
2447,体温表是用来测量身体温度的。,体温表是,USED_FOR,测量身体温度的,USED_FOR_YONGLAI
2555,"""简直""用来强调完全达到或差不多达到了某种程度，有时是一种极端的程度，带有夸张的语气。",简直,USED_FOR,强调完全达到或差不多达到了某种程度,USED_FOR_YONGLAI
3151,望远镜·电子显微镜 望远镜 望远镜是一种用于观察远距离物体的光学仪器，它能把远处的物品在成像空间内按一定倍率放大，使本来无法用肉眼看清的物体变得清晰可见。,望远镜是一种,USED_FOR,观察远距离物体的光学仪器,USED_FOR_YONGYU
3716,牛顿第三定律告诉我们：对于每一个作用力，必定有一等值反向的反作用力；作用力和反作用力是成对出现的，它们同时存在，同时消失；作用力和反作用力是作用于不同的物体上的。,作用力和反作用力是作,USED_FOR,不同的物体上的,USED_FOR_YONGYU
3719,重物受到两个力，一是绳子的向上的拉力T，作用于重物上；二是地球作用于重物的向下的引力P。,二是地球作,USED_FOR,重物的向下的引力P,USED_FOR_YONGYU
3722,T的反作用力是重物拉绳子向下的力T'(作用于绳子上)，P的反作用力是物体吸引地球的力P'(作用于地球上)。,(作,USED_FOR,绳子上),USED_FOR_YONGYU
3722,T的反作用力是重物拉绳子向下的力T'(作用于绳子上)，P的反作用力是物体吸引地球的力P'(作用于地球上)。,(作,USED_FOR,地球上),USED_FOR_YONGYU
4230,压强P是垂直作用于物体上的压力F跟受力面积S的比值。,压强P是垂直作,USED_FOR,物体上的压力F跟受力面积S的比值,USED_FOR_YONGYU
4818,因此，只要编码是一样的，电视机就可以接收控制，同一个型号的遥控器，可以用于所有适用的机型。,可以,USED_FOR,所有适用的机型,USED_FOR_YONGYU
5685,组成原子核基本粒子的结构及运动规律是很复杂的，科学家们在不断地研究，把取得的成果不断地应用于科学技术中。,把取得的成果不断地应,USED_FOR,科学技术中,USED_FOR_YONGYU
6066,妹妹：正三角形，六个角的和是360°，可以铺地；正方形，四个角的和是360°，也可以铺地；正五边形的一个角是108°，在公共顶点上，三个角的和是324°，铺不满，再放一个角，又放不下，正五边形的砖不能用来铺地。,正五边形的砖不能,USED_FOR,铺地,USED_FOR_YONGLAI
6073,它是一种能把重物顶起的工具，广泛应用于机器修理和安装。,广泛应,USED_FOR,机器修理和安装,USED_FOR_YONGYU
6259,由于水银和酒精能够用来测量温度，因此被称为测温物质。,由于水银和酒精能够,USED_FOR,测量温度,USED_FOR_YONGLAI
6406,因为用于测量的指纹仅是相当小的一片表皮，所以指纹采集设备应该有足够好的分辨率以获得指纹的细节。,因为,USED_FOR,测量的指纹仅是相当小的一片表皮,USED_FOR_YONGYU
7007,对每一个作用力，必定有一等值反向的反作用力；作用力和反作用力是成对出现的，它们同时存在，同时消失；作用力和反作用力是作用于不同的物体上的。,作用力和反作用力是作,USED_FOR,不同的物体上的,USED_FOR_YONGYU
9096,"因为它是用硝石、硫黄和木炭这三种物质混合制成的，而当时这三种东西都是 人们用来治病的药物成分，所以取名""火药""，意思是""着火的药""。",人们,USED_FOR,治病的药物成分,USED_FOR_YONGLAI
9975,牛顿第三定律表明：对于每一个作用力，必定有一个等值反向的反作用力；作用力和反作用力总是成对出现的，它们同时存在、同时消失；作用力和反作用力分别作用于不同的物体上，且属于同一性质的力，如果作用力是摩擦力，那么反作用力也是摩擦力。,作用力和反作用力分别作,USED_FOR,不同的物体上,USED_FOR_YONGYU
13010,函数是用来描述变量之间的关系的概念，比如说，在上面的例子中，山坡的高度随行进者离出发点水平距离的变化而变化，也就是说，叫作自变量，是的函数。,函数,USED_FOR,描述变量之间,USED_FOR_SHI_YONGLAI_DE
13010,函数是用来描述变量之间的关系的概念，比如说，在上面的例子中，山坡的高度随行进者离出发点水平距离的变化而变化，也就是说，叫作自变量，是的函数。,函数是,USED_FOR,描述变量之间的关系的概念,USED_FOR_YONGLAI
13197,矩阵知识对于密码学的贡献 无论是利用波利比奥斯方阵进行替换加密的棋盘密码，还是被用于军事信息加密的凯撒密码，都让我们见识到了古人在密码学领域展现出来的智慧。,还是,USED_FOR,军事信息加密的凯撒密码,USED_FOR_BEI_YONGYU
13197,矩阵知识对于密码学的贡献 无论是利用波利比奥斯方阵进行替换加密的棋盘密码，还是被用于军事信息加密的凯撒密码，都让我们见识到了古人在密码学领域展现出来的智慧。,还是被,USED_FOR,军事信息加密的凯撒密码,USED_FOR_YONGYU
13239,"在数学教材中，""概率""是用来刻画事件出现的可能性大小的数量指标，记作，其取值范围是。",概率,USED_FOR,刻画事件出现,USED_FOR_SHI_YONGLAI_DE
13239,"在数学教材中，""概率""是用来刻画事件出现的可能性大小的数量指标，记作，其取值范围是。","概率""是",USED_FOR,刻画事件出现的可能性大小的数量指标,USED_FOR_YONGLAI
13281,另一方面，如果说将计算机技术应用于统计学领域是为统计学发展奠下了一脚油门，那么掌握方向盘的还是统计学本身。,如果说将计算机技术应,USED_FOR,统计学领域是为统计学发展奠下了一脚油门,USED_FOR_YONGYU
13308,由于学习汉语首先要学会汉语拼音，原本只是用来标记汉字读音的拼音也就可以自然地作为汉字的输入编码。,原本只,USED_FOR,标记汉字读音,USED_FOR_SHI_YONGLAI_DE
13308,由于学习汉语首先要学会汉语拼音，原本只是用来标记汉字读音的拼音也就可以自然地作为汉字的输入编码。,原本只是,USED_FOR,标记汉字读音的拼音也就可以自然地作为汉字的输入编码,USED_FOR_YONGLAI
13720,航空航天 量子计算机可用于解决航空航天工业中的具体问题，也就是那些需要处理和存储大量数据的问题，包括分析卫星传输的图像，为飞机制造新颖、超耐用的材料等。,量子计算机可,USED_FOR,解决航空航天工业中的具体问题,USED_FOR_YONGYU
13740,"量子密钥分配 量子密钥分配不是用于传送保密内容，而是在于建立和传输密码本，就是向保密的通信双方分配密钥，俗称""量子密码通信""。",量子密钥分配不是,USED_FOR,传送保密内容,USED_FOR_YONGYU
13767,但是在卫星导航系统中，1纳秒(十亿分之一秒)的时间误差会导致0.3米的距离误差，所以普通时钟不能用于导航定位。,所以普通时钟不能,USED_FOR,导航定位,USED_FOR_YONGYU
13966,铁是最重要的金属元素之一，广泛用于建筑、机械制造、交通运输等领域。,广泛,USED_FOR,建筑、机械制造、交通运输等领域,USED_FOR_YONGYU
13968,铝是地壳中含量最丰富的金属元素，具有密度小、导电性好、耐腐蚀的特点，广泛应用于航空、建筑、包装等行业。,广泛应,USED_FOR,航空、建筑、包装等行业,USED_FOR_YONGYU
14155,北斗这个名字来源于中国古代的北斗星，北斗星是古代的人们用来分辨方位的依据。,北斗星是古代的人们,USED_FOR,分辨方位的依据,USED_FOR_YONGLAI
14207,铁是最重要的金属元素之一，广泛用于建筑、机械制造等领域。,广泛,USED_FOR,建筑、机械制造等领域,USED_FOR_YONGYU
17521,摄氏度和华氏度都是用来计量温度的单位。,摄氏度和华氏度都,USED_FOR,计量温度,USED_FOR_SHI_YONGLAI_DE
17521,摄氏度和华氏度都是用来计量温度的单位。,摄氏度和华氏度都是,USED_FOR,计量温度的单位,USED_FOR_YONGLAI
17905,手动、自动 手动是用于进行操作实现的运动。,手动是,USED_FOR,进行操作实现的运动,USED_FOR_YONGYU
17984,计算机俗称电脑，是一种用于高速计算的电子计算机器，可以进行数值计算，又可以进行逻辑计算，还具有存储记忆功能，是能够按照程序运行、自动、高速处理海量数据的现代化智能电子设备，由硬件系统和软件系统组成。,是一种,USED_FOR,高速计算的电子计算机器,USED_FOR_YONGYU
18036,操作系统主要用于存储文件 操作系统统一管理计算机系统的全部资源 操作系统是用户和计算机的接口 操作系统是系统软件的核心 关于操作系统的目的说法不正确的是。,操作系统主要,USED_FOR,存储文件 操作系统统一管理计算机系统的全部资源 操作系统是用户和计算机的接口 操作系统是系统软件的核心 关于操作系统的目的说法不正确的是,USED_FOR_YONGYU
18072,神经细胞的周围有很多长而细的突起，叫树突，其中有一根特别长的突起，是专门用来传递兴奋的，叫轴突。,是专门,USED_FOR,传递兴奋的,USED_FOR_YONGLAI
18133,表皮在皮肤的最外面，是一层无生命的角质层，它是用来保护真皮的。,它是,USED_FOR,保护真皮的,USED_FOR_YONGLAI
18239,我们看不到病毒 蓝鲸是海洋里的生物 生命科学是一门基础科学 生命科学的研究成果可以应用在农学上 生物技术是将分子生物学的研究成果应用于农业、医学和其他领域的生产实践，从而发展出来的一系列工程技术。,生物技术是将分子生物学的研究成果应,USED_FOR,农业、医学和其他领域的生产实践,USED_FOR_YONGYU
20449,例参照物就是用来确定物体处于相对静止或相对运动状态的比较物，两个物体做相对运动时，两者互为参照物。,例参照物就,USED_FOR,确定物体处于相对静止或相对运动状态,USED_FOR_SHI_YONGLAI_DE
20449,例参照物就是用来确定物体处于相对静止或相对运动状态的比较物，两个物体做相对运动时，两者互为参照物。,例参照物就是,USED_FOR,确定物体处于相对静止或相对运动状态的比较物,USED_FOR_YONGLAI
20918,海洋微生物通过光合作用来制造养分实际上是适应环境的一个表现。,海洋微生物通过光合作,USED_FOR,制造养分实际上是适应环境的一个表现,USED_FOR_YONGLAI
20955,在元素周期表的左方是典型的金属元素，如钠、钾、镁、钙等；在元素周期表的右方是典型的非金属元素，如氟、氯、氧、硫等；在元素周期表中部的过渡金属元素中，有我们熟悉的铁、铜、锌、金、银等；在元素周期表中部偏右处是一些常常用于信息技术中的具有半导体功能的元素，如硅、锗、砷等；在元素周期表的下方是放射性元素，其中有一些是人工制造的。,在元素周期表中部偏右处是一些常常,USED_FOR,信息技术中的具有半导体功能的元素,USED_FOR_YONGYU
21306,分析自变量和应变量：光线的强度在假设里是影响的因素，并可以由实验者控制，它是非依赖性的变量，是自变量；在一定时间内，释放的氧气的体积可以用来测定光合作用的速度。,释放的氧气的体积可以,USED_FOR,测定光合作用的速度,USED_FOR_YONGLAI
21692,碳水化合物 主要作为能量的来源，也是呼吸作用的基础物质，氧化释放能量用于激活转运、合成大分子、细胞分裂和肌肉收缩。,氧化释放能量,USED_FOR,激活转运、合成大分子、细胞分裂和肌肉收缩,USED_FOR_YONGYU
