sent_id,subj,pred,obj
18,范围,包括,工程
56,助理,交,材料
78,主任,阅读,手册
87,项目,采用,系统
90,主任,具有,功能
117,设计,经过,分析
118,软件,减轻,劳动强度
133,主任,提出,要求
136,主任,让,助理
151,环境,产生,吸引力
166,总监,发现,问题
189,事物,作为,基础
211,主任,提醒,助理
212,会议,讨论,问题
217,边坡,分成,部分
221,会议,解决,问题
236,队长,加强,管理
289,助理,发现,问题
307,主任,欢迎,助理
308,助理,谢谢,主任
311,主任,设置,工位
314,环节,出,问题
347,发展,使,地球
382,技术,通过,认证
399,例会,进行,讨论
427,技术,处于,水平
436,人员,保持,联系
436,人员,推动,关系
450,助理,做,检查
455,助理,进行,管理
473,材料,翻译,英语
485,凡事,有,过程
551,命运,取决于,结果
569,周成,提供,信息
571,文件,包括,资料
613,问题,影响,质量
643,谈判,做出,评价
646,条件,进行,磋商
705,单位,通报,情况
733,员工,招聘,人物
742,发展,取决于,人际关系
742,关键,取决于,人际关系
819,质量,有所,差别
875,用户,提供,条件
883,资料,存在,问题
887,时间,出现,索赔
891,诉求,未予,支持
894,问题,承担,责任
908,问题,有,价值
940,单位,受,委托
959,阶段,进行,调查研究
966,设计,涉及,质量
977,句子,包含,关系
985,系统,提供,方便
1008,管理,注意,问题
1030,工程,需要,合作
1049,父母,会,时间
1091,内容,包括,方面
1110,管理,分为,项目
1123,手机,回答,问题
1151,二氧化碳,压入,水中
1154,身体,吸收,二氧化碳
1207,二氧化碳,压,水中
1231,北方,获得,太阳
1287,阿尔玛,做,练习
1297,爸爸,回答,问题
1307,现象,叫做,蒸发
1309,水蒸气,凝结,水滴
1338,练习,得到,结论
1360,快慢,有,关系
1386,形容词,有,意思
1406,二氧化碳,进入,里边
1425,浮力,放入,水中
1429,铁块,受到,浮力
1434,物体,受到,浮力
1435,浮力,等于,重量
1438,浮力,使,铁块
1439,浮力,大于,重量
1468,浮力,托,铁块
1501,太阳光,直射,南半球
1516,周围,覆盖,空气
1517,空气,有,压力
1525,身上,受到,压力
